Station,Year,Month,Week,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Khatib,2014,1,1,1,0,0,0,0,27,29.7,24.3,6.2,27
Khatib,2014,1,1,2,0.2,0.2,0.2,0.2,27.7,32,25.4,7.1,29.2
Khatib,2014,1,1,3,19.8,17.2,17.6,19.8,27.1,31.3,24.7,5.9,24.8
Khatib,2014,1,1,4,0.2,0.2,0.2,0.2,26.8,32.4,23.9,4.5,29.2
Khatib,2014,1,1,5,5.2,1.8,3,3.6,25.2,26.2,23.7,4.6,24.5
Khatib,2014,1,2,6,61.8,15.4,17.4,20.6,25.4,28,23.5,3.5,22.7
Khatib,2014,1,2,7,0.2,0.2,0.2,0.2,26.6,31.2,23.5,4.3,20.9
Khatib,2014,1,2,8,0,0,0,0,27.4,32.7,24.1,6.6,32.4
Khatib,2014,1,2,9,24.6,16.8,24.4,24.6,25.6,28.8,23.6,3.6,25.2
Khatib,2014,1,2,10,0,0,0,0,27,31.7,23.5,3.3,19.4
Khatib,2014,1,2,11,1.6,1.6,1.6,1.6,27.3,32.3,24.1,7,29.5
Khatib,2014,1,2,12,0.6,0.6,0.6,0.6,26.5,29.5,25.1,6.6,28.1
Khatib,2014,1,3,13,0,0,0,0,27,30.7,24.9,8.2,31
Khatib,2014,1,3,14,0,0,0,0,26.8,30.8,23.9,7.7,32.4
Khatib,2014,1,3,15,0,0,0,0,26,29.3,24.3,7.1,33.1
Khatib,2014,1,3,16,0,0,0,0,26.2,29.8,23.8,7.6,30.6
Khatib,2014,1,3,17,0,0,0,0,26.2,30.4,23.4,7.8,28.4
Khatib,2014,1,3,18,0,0,0,0,26.2,29.7,24.1,8.5,34.6
Khatib,2014,1,3,19,0,0,0,0,26.2,30.7,23.4,7.5,32.8
Khatib,2014,1,4,20,0,0,0,0,26,30.6,23.7,7.4,27.7
Khatib,2014,1,4,21,0,0,0,0,26,30.4,23.8,7.5,31.7
Khatib,2014,1,4,22,0,0,0,0,25.6,29,22.4,7.1,30.2
Khatib,2014,1,4,23,0,0,0,0,25.9,30,23.5,7.7,30.6
Khatib,2014,1,4,24,0,0,0,0,25.8,29.4,23.3,7.6,26.6
Khatib,2014,1,4,25,0,0,0,0,25.9,30.4,23.3,7.5,28.8
Khatib,2014,1,4,26,0,0,0,0,25.8,30.5,22.4,6.8,28.4
Khatib,2014,1,5,27,0,0,0,0,25.9,30.5,23.2,8,31.7
Khatib,2014,1,5,28,0,0,0,0,26.7,31.2,24.1,8.4,32.4
Khatib,2014,1,5,29,0,0,0,0,26.8,31.6,23.9,8.8,36
Khatib,2014,1,5,30,0,0,0,0,26.2,32,22.5,8,33.5
Khatib,2014,1,5,31,0,0,0,0,26.5,31.8,22.9,8.1,29.2
Khatib,2014,2,5,1,0,0,0,0,26.4,33,21.9,6.7,29.2
Khatib,2014,2,5,2,0,0,0,0,26,31.6,22.3,6.6,26.6
Khatib,2014,2,6,3,0,0,0,0,26.5,32.4,22.4,6.3,23.8
Khatib,2014,2,6,4,0,0,0,0,26.7,32.6,23,6.6,28.4
Khatib,2014,2,6,5,0,0,0,0,26.4,32.4,23,7.7,27.7
Khatib,2014,2,6,6,0,0,0,0,26.8,32.7,22.9,6.8,30.6
Khatib,2014,2,6,7,0,0,0,0,26.9,32,24,6.6,22.3
Khatib,2014,2,6,8,40.2,37,40.2,40.2,26.6,32.7,22.3,5.4,51.5
Khatib,2014,2,6,9,0.2,0.2,0.2,0.2,27.5,33.6,25.3,4.9,20.5
Khatib,2014,2,7,10,0,0,0,0,28,33.3,23.6,6,24.1
Khatib,2014,2,7,11,0,0,0,0,27.8,32.5,24.9,6.7,27
Khatib,2014,2,7,12,0,0,0,0,27.9,33.6,22.5,7.9,30.6
Khatib,2014,2,7,13,0,0,0,0,28.2,34.1,25.7,7.7,34.2
Khatib,2014,2,7,14,0,0,0,0,27.9,32.1,25.9,7.9,30.6
Khatib,2014,2,7,15,0,0,0,0,27.8,32.4,24.8,8.6,36.4
Khatib,2014,2,7,16,0.2,0.2,0.2,0.2,27.9,33.2,24.5,7.9,31
Khatib,2014,2,8,17,0,0,0,0,27.7,32.7,25.2,8.5,28.4
